monitoring_location_id,agency_code,agency_name,monitoring_location_number,monitoring_location_name,district_code,country_code,country_name,state_code,state_name,county_code,county_name,minor_civil_division_code,site_type_code,site_type,hydrologic_unit_code,basin_code,altitude,altitude_accuracy,altitude_method_code,altitude_method_name,vertical_datum,vertical_datum_name,horizontal_positional_accuracy_code,horizontal_positional_accuracy,horizontal_position_method_code,horizontal_position_method_name,original_horizontal_datum,original_horizontal_datum_name,drainage_area,contributing_drainage_area,time_zone_abbreviation,uses_daylight_savings,construction_date,aquifer_code,national_aquifer_code,aquifer_type_code,well_constructed_depth,hole_constructed_depth,depth_source_code,revision_note,revision_created,revision_modified,index_right,huc8,name,daily,continuous,field_measurements,samples,conductivity,temperature,dissolved_oxygen,dissolved_solids,chlorophyll,pH,nitrogen,phosphorus,turbidity,parameters,geometry
USGS-08212985,USGS,U.S. Geological Survey,08212985,"E Main Drain at Hwy 77 nr Yturria, TX",48,US,United States of America,48,Texas,489,Willacy County,,ST,Stream,121102080500,,33.0,20.0,N,Interpolated from Digital Elevation Model,NAVD88,North American Vertical Datum of 1988,F,Accurate to + or - 5 sec.,M,Interpolated from map,NAD27,North American Datum of 1927,,,CST,Y,,,,,,,,,,,0,12110208,South Laguna Madre,False,False,False,False,False,False,False,False,False,False,False,False,False,[],POINT (-97.7769397058668 26.5192332286184)
USGS-08212990,USGS,U.S. Geological Survey,08212990,"E Main Drain nr San Perlita, TX",48,US,United States of America,48,Texas,489,Willacy County,,ST,Stream,121102080500,,20.0,20.0,N,Interpolated from Digital Elevation Model,NAVD88,North American Vertical Datum of 1988,F,Accurate to + or - 5 sec.,M,Interpolated from map,NAD27,North American Datum of 1927,,,CST,Y,,,,,,,,,,,0,12110208,South Laguna Madre,False,False,False,False,False,False,False,False,False,False,False,False,False,[],POINT (-97.6405446931685 26.5120115747835)
USGS-08213000,USGS,U.S. Geological Survey,08213000,"Unm Resaca at Hwy 497 nr Port Mansfield, TX",48,US,United States of America,48,Texas,489,Willacy County,,ST,Stream,121102080500,,3.0,20.0,N,Interpolated from Digital Elevation Model,NAVD88,North American Vertical Datum of 1988,F,Accurate to + or - 5 sec.,M,Interpolated from map,NAD27,North American Datum of 1927,,,CST,Y,,,,,,,,,,,0,12110208,South Laguna Madre,False,False,False,False,False,False,False,False,False,False,False,False,False,[],POINT (-97.4885932952695 26.503678792028)
USGS-08461200,USGS,U.S. Geological Survey,08461200,"Intern Fal Res nr Falcon Heights, TX",48,US,United States of America,48,Texas,427,Starr County,,LK,"Lake, Reservoir, Impoundment",13080003,,314.0,5.0,M,Interpolated from topographic map.,NGVD29,National Geodetic Vertical Datum of 1929,S,Accurate to + or - 1 sec.,M,Interpolated from map,NAD27,North American Datum of 1927,,,CST,Y,,,,,,,,,,,2,13090001,Los Olmos,False,False,False,True,True,True,True,True,False,True,True,True,False,"['Acidity, (H+)', 'Alkalinity', 'Ammonia and ammonium', 'Bicarbonate', 'Calcium', 'Carbon dioxide', 'Carbonate', 'Chloride', 'Dissolved oxygen (DO)', 'Dissolved oxygen saturation', 'Fluoride', 'Hardness, Ca, Mg', 'Hardness, non-carbonate', 'Inorganic nitrogen (nitrate and nitrite)', 'Iron', 'Magnesium', 'Manganese', 'Phosphorus', 'Potassium', 'Sampling depth', 'Silica', 'Sodium', 'Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)]', 'Sodium, percent total cations', 'Specific conductance', 'Sulfate', 'Temperature, water', 'Total dissolved solids', 'pH']",POINT (-99.1636443387556 26.5583879552765)
USGS-08461300,USGS,U.S. Geological Survey,08461300,"Rio Grande bl Falcon Dam, TX",48,US,United States of America,48,Texas,427,Starr County,,ST,Stream,130900011102,,235.0,5.0,M,Interpolated from topographic map.,NGVD29,National Geodetic Vertical Datum of 1929,F,Accurate to + or - 5 sec.,M,Interpolated from map,NAD27,North American Datum of 1927,159270.0,159270.0,CST,Y,,,,,,,,,,,2,13090001,Los Olmos,False,True,False,True,True,True,True,True,True,True,True,True,True,"['.alpha.-1,2,3,4,5,6-Hexachlorocyclohexane-D6 or alpha-HCH D6', '.alpha.-Hexachlorocyclohexane', '1rs Cis-Permethrin', '2,6-Diethylaniline', '2-Chloro-4-isopropylamino-6-amino-s-triazine', 'Absorbance at 280 nanometers', 'Acetochlor', 'Acidity, (H+)', 'Agency analyzing sample', 'Alachlor', 'Alkalinity', 'Aluminum', 'Ammonia and ammonium', 'Antimony', 'Arsenic', 'Atrazine', 'Azinphos-methyl', 'Barium', 'Barometric pressure', 'Benfluralin', 'Beryllium', 'Bicarbonate', 'Boron', 'Butylate', 'Cadmium', 'Calcium', 'Carbaryl', 'Carbofuran', 'Carbon', 'Carbon dioxide', 'Carbonate', 'Chloride', 'Chlorpyrifos', 'Chlorthal-dimethyl', 'Chromium', 'Cobalt', 'Copper', 'Cyanazine', 'Desulfinylfipronil amide', 'Deuterium/Hydrogen ratio', 'Diazinon', 'Diazinon-D10', 'Dieldrin', 'Discharge', 'Dissolved oxygen (DO)', 'Dissolved oxygen saturation', 'Disulfoton', 'Ethalfluralin', 'Ethoprophos', 'Fipronil', 'Fipronil Desulfinyl', 'Fipronil Sulfide', 'Fipronil Sulfone', 'Floating algae mat - severity (choice list)', 'Floating debris - severity (choice list)', 'Fluoride', 'Fonofos', 'Gage height', 'Hardness, Ca, Mg', 'Hardness, non-carbonate', 'Height, gage', 'Inorganic carbon', 'Inorganic nitrogen (nitrate and nitrite)', 'Iron', 'Kjeldahl nitrogen', 'Lead', 'Linuron', 'Lithium', 'Magnesium', 'Malathion', 'Manganese', 'Mercury', 'Methyl parathion', 'Metolachlor', 'Metribuzin', 'Molinate', 'Molybdenum', 'Napropamide', 'Nickel', 'Nitrate', 'Nitrite', 'Nitrogen', 'Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)', 'Organic Nitrogen', 'Organic carbon', 'Orthophosphate', 'Oxygen-18/Oxygen-16 ratio', 'Parathion', 'Particulate nitrogen/particulate organic carbon', 'Pebulate', 'Pendimethalin', 'Phorate', 'Phosphorus', 'Potassium', 'Potassium-40', 'Prometon', 'Pronamide', 'Propachlor', 'Propanil', 'Propargite', 'S-Ethyl dipropylthiocarbamate', 'Selenium', 'Set number', 'Silica', 'Silver', 'Simazine', 'Sodium', 'Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)]', 'Sodium plus potassium', 'Sodium, percent total cations', 'Specific conductance', 'Stream flow', 'Stream flow, instantaneous', 'Strontium', 'Sulfate', 'Sulfide', 'Sulfur', 'Suspended Sediment Concentration (SSC)', 'Suspended Sediment Load', 'Suspended sediment particle size', 'Tebuthiuron', 'Temperature, water', 'Terbacil', 'Terbufos', 'Terbuthylazine', 'Thallium', 'Thiobencarb', 'Titanium', 'Total dissolved solids', 'Total solids', 'Triallate', 'Trifluralin', 'Turbidity', 'UV 254', 'Uranium', 'Vanadium', 'Volume of sample', 'Zinc', 'gamma-HCH (Lindane)', ""p,p'-DDE"", 'pH']",POINT (-99.1683666042609 26.5572768101709)
USGS-08462300,USGS,U.S. Geological Survey,08462300,"Rio Grande Ups fr Rio Saladito nr Fronton, TX",48,US,United States of America,48,Texas,427,Starr County,,ST,Stream,130900011107,,158.0,20.0,N,Interpolated from Digital Elevation Model,NAVD88,North American Vertical Datum of 1988,F,Accurate to + or - 5 sec.,M,Interpolated from map,NAD27,North American Datum of 1927,,,CST,Y,,,,,,,,,,,2,13090001,Los Olmos,False,False,False,False,False,False,False,False,False,False,False,False,False,[],POINT (-99.1119757298785 26.4289490336989)
USGS-08462400,USGS,U.S. Geological Survey,08462400,"Rio Grande Dws fr Rio Saladito nr Fronton, TX",48,US,United States of America,48,Texas,427,Starr County,,ST,Stream,130900011107,,154.0,20.0,N,Interpolated from Digital Elevation Model,NAVD88,North American Vertical Datum of 1988,F,Accurate to + or - 5 sec.,M,Interpolated from map,NAD27,North American Datum of 1927,,,CST,Y,,,,,,,,,,,2,13090001,Los Olmos,False,False,False,False,False,False,False,False,False,False,False,False,False,[],POINT (-99.0994754470513 26.4170051659003)
USGS-08462500,USGS,U.S. Geological Survey,08462500,"Rio Grande at Roma, TX",48,US,United States of America,48,Texas,427,Starr County,,ST,Stream,130900011109,23,142.65,0.1,L,Level or other surveyed method.,NGVD29,National Geodetic Vertical Datum of 1929,S,Accurate to + or - 1 sec.,R,Reported.,NAD27,North American Datum of 1927,166464.0,166464.0,CST,Y,,,,,,,,,,,2,13090001,Los Olmos,False,True,False,False,True,True,False,False,False,False,False,False,False,"['Discharge', 'Gage height', 'Specific cond at 25C', 'Temperature, water']",POINT (-99.0169744803813 26.4003404811696)
USGS-08464000,USGS,U.S. Geological Survey,08464000,"Rio Grande abv Rio San Juan nr Rio Grande City, TX",48,US,United States of America,48,Texas,427,Starr County,,ST,Stream,130900011112,,138.0,20.0,N,Interpolated from Digital Elevation Model,NAVD88,North American Vertical Datum of 1988,F,Accurate to + or - 5 sec.,M,Interpolated from map,NAD27,North American Datum of 1927,,,CST,Y,,,,,,,,,,,2,13090001,Los Olmos,False,False,False,False,False,False,False,False,False,False,False,False,False,[],POINT (-98.85363834996 26.3650654345342)
USGS-08464300,USGS,U.S. Geological Survey,08464300,"Rio Grande bl Rio San Juan nr Rio Grande City, TX",48,US,United States of America,48,Texas,427,Starr County,,ST,Stream,130900011112,,141.0,20.0,N,Interpolated from Digital Elevation Model,NAVD88,North American Vertical Datum of 1988,F,Accurate to + or - 5 sec.,M,Interpolated from map,NAD27,North American Datum of 1927,,,CST,Y,,,,,,,,,,,2,13090001,Los Olmos,False,False,False,False,False,False,False,False,False,False,False,False,False,[],POINT (-98.8483604535974 26.3600656473801)
