huc8,name,water_year,precip_mm,et_mm,runoff_mm,surf_runoff_mm,subsurf_runoff_mm,recharge_mm,balance_mm,soil_moisture_m3m3,swe_mm,canopy_mm,t2_degc,td2_degc,q2_kgkg,n_months
13090001,Los Olmos,1980,437.44720148850837,429.86302140213365,-1.3478322817822654,-7.106477777227436,5.758645495445171,55.49581756555544,8.93201236815698,0.16828861843491016,1.6383457169857765e-08,0.005968373575837952,23.374027353223198,14.890734026892176,0.011945962733300028,12
13090001,Los Olmos,1981,1004.3540422275267,804.5849051311378,144.11319610755513,138.31417378113716,5.799022326417964,107.37289894067024,55.655940988833805,0.23573265340817254,3.9368030223515274e-08,0.014890554180323362,22.0319822627726,16.447250779319347,0.012878336440782567,12
13090001,Los Olmos,1982,474.4128279971126,554.0930383691241,33.891548294067746,32.0391445802749,1.8524037137928433,99.50373815354547,-113.57175866607926,0.19187099203784427,5.962788793344912e-08,0.008105050757741343,22.964153982829885,15.989537901238407,0.012537697192157542,12
13090001,Los Olmos,1983,721.3143251628222,632.2518709640021,26.307816770355405,24.942881480741562,1.3649352896138438,65.13117720399448,62.75463742846469,0.2051473972896299,1.737602448182433e-07,0.011287430637191133,22.413053403902552,15.568664666046232,0.01222661139588129,12
13090001,Los Olmos,1984,441.7000127970848,513.994955301109,16.649985964340143,15.775931462473675,0.8740545018664677,61.1846002446925,-88.94492846836437,0.18727381812728836,3.2037004800682247e-06,0.007686416990724486,22.477132502261156,14.196079871308314,0.011436769594532463,12
13090001,Los Olmos,1985,622.0966470213675,594.8722189063787,15.084921340397997,13.870743707725575,1.2141776326724232,47.62149355127347,12.139506774590771,0.1990708012089616,1.948932966648678e-07,0.010316377516037464,22.917160974179183,16.35944984562161,0.012767143880143212,12
13090001,Los Olmos,1986,533.685268973381,565.368611097621,20.051287901653755,19.256661325080927,0.7946265765728281,56.885004158690535,-51.734630025893836,0.19187413484968355,5.854040006610889e-08,0.007105447887091381,23.48131179452463,15.997220091041754,0.01245361796416321,12
13090001,Los Olmos,1987,969.9915132815614,729.5649794806384,100.30288775052406,98.37456014897953,1.9283276015445425,79.2712110731569,140.12364605039897,0.2268613858856654,1.3659326516194539e-07,0.014607954447039204,22.090885692144298,15.829035392652997,0.01239952894799517,12
13090001,Los Olmos,1988,540.1468639278431,562.5462421898817,16.877272419557304,15.897026811451036,0.980245608106266,76.69108517557957,-39.27665068159587,0.1959304752627824,6.668136136416458e-08,0.00837300708001283,22.62116525976137,15.227270479974038,0.011962355768342125,12
13090001,Los Olmos,1989,408.1617874307289,532.8242646325392,-3.9830865820428936,-4.763411285349141,0.7803247033062478,47.09287120705371,-120.67939061976742,0.18266384724434645,1.4800802777313772e-07,0.0071574764557197365,23.39316635475069,15.70417317193477,0.012310425656699854,12
13090001,Los Olmos,1990,510.3362901576753,497.2764643568775,-9.838318790536574,-10.651771357581858,0.8134525670452833,33.26906867734323,22.898144591334372,0.18263270062582457,9.948993152168602e-06,0.007508658977930901,23.243211016760426,15.53695703899649,0.01231507856739148,12
13090001,Los Olmos,1991,544.4761670514504,556.8485594640106,1.5927781857935748,0.6744349525471068,0.9183432332464679,32.631685682769906,-13.965170598353778,0.18122393334915862,1.604423951912239e-08,0.007450811091925674,23.75809222252434,15.61968172074711,0.012407175572315366,12
13090001,Los Olmos,1992,658.1899210906721,646.2714463987837,42.336679551569745,41.31864078873773,1.0180387628320122,46.21804805324667,-30.418204859681367,0.20925862281978844,1.7324115030850756e-07,0.012264089958557716,22.78793850173423,16.302839351880664,0.01258949283564266,12
13090001,Los Olmos,1993,554.9298620174231,549.9038196151256,20.13273426971387,19.085702338868348,1.047031930845521,47.126058385585175,-15.10669186741632,0.1914350003378046,2.0171070194360487e-07,0.011150963179873371,22.993423009836135,15.942954406700323,0.01240510754568884,12
13090001,Los Olmos,1994,448.2279512741035,455.6850260499732,-4.429300065970458,-5.489759532325573,1.0604594663551155,36.752586116799506,-3.02777470989927,0.17551350923759768,1.8184060809169352e-08,0.0071044818758817475,23.102402995375257,15.370007416945839,0.012161758200761165,12
13090001,Los Olmos,1995,497.8652566399932,526.2168888154389,-0.08400500988874682,-0.9912038250760717,0.9071988151873249,28.651921214256348,-28.267627165556927,0.1838274111232884,1.3401494795369207e-08,0.0070343907478153216,23.765936320179264,16.02218616415871,0.012605518796122024,12
13090001,Los Olmos,1996,367.8705700031575,368.5479040756838,-8.018795135333164,-8.781044168416063,0.7622490330828982,25.334816342216534,7.3414610628069,0.16494242891784025,8.555507590670831e-09,0.005831402877238007,22.951738084910744,14.358185403225377,0.011646633656864408,12
13090001,Los Olmos,1997,537.4603779892084,547.2594991304813,13.459050265855465,12.67724237629304,0.7818078895624235,30.224302110573117,-23.25817140712843,0.191338417032488,3.4487822286877364e-06,0.0092687709721774,22.706904400782605,15.481057617050624,0.012239610277205938,12
13090001,Los Olmos,1998,476.216400892649,459.9672207165473,19.19414279783021,18.41030507452165,0.7838377233085609,39.78413232619648,-2.944962621728479,0.1831314251950126,2.2190724448208887e-07,0.008721267613561758,23.275078771307335,14.973507725284549,0.01198720316547403,12
13090001,Los Olmos,1999,458.33697994268374,464.7703099616183,-3.9096620763435874,-4.612365356661004,0.7027032803174169,27.48083186929885,-2.5236679425909676,0.17746906051844624,5.2076240882338035e-08,0.0073761744568230795,23.823080187980963,16.040105856359105,0.012554951793459475,12
13090001,Los Olmos,2000,365.50395912080455,434.74049545214075,-8.898312935966322,-9.615101903993294,0.7167889680269723,21.866231402319166,-60.33822339536987,0.16772559962760622,8.641430594407973e-08,0.0052539502934575094,23.689775968954734,15.208486177049394,0.011939527091697455,12
13090001,Los Olmos,2001,658.6081731451826,553.9262367310514,19.923313871949286,18.896443196909186,1.0268706750401009,24.519418857173378,84.75862254218191,0.1990640484154184,7.514115194527179e-08,0.011332442648733699,22.32429774075962,15.578913133609433,0.012155698057032973,12
13090001,Los Olmos,2002,495.0197897730383,503.1827356184291,23.930305567638285,22.908833419225157,1.0214721484131286,36.874213697546004,-32.09325141302905,0.17956643061745592,1.1169532786867578e-08,0.006757724814220487,22.99251995472258,14.80056978652891,0.01180607678348064,12
